City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
343,Hamilton,US,66.2,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
345,Maceio,BR,82.4,broken clouds,-9.6658,-35.7353,Poutur Pousada
347,Palmer,US,61.0,few clouds,42.1584,-72.3287,Wedgewood Motel
349,Yuzhno-Sukhokumsk,RU,64.63,light rain,44.6581,45.6436,Gostinitsa Kvankhidatli
356,Ha Giang,VN,74.91,light rain,22.8333,104.9833,Truong Xuan Ecolodge
359,Saint George,US,87.01,overcast clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
360,Santa Rosa,PH,82.4,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
361,Jos,NG,80.96,overcast clouds,9.9167,8.9,Silk Suites
362,Tongchuan,CN,67.21,overcast clouds,35.0806,109.0897,Tongchuan Hotel
363,Sao Jose De Ribamar,BR,80.6,broken clouds,-2.5619,-44.0542,Mediterrânea Hotel e Restaurante
364,Kiunga,PG,71.98,light rain,-6.1219,141.2906,Airport Lodge Kiunga
365,Anshun,CN,64.0,overcast clouds,26.25,105.9333,安顺麦吉风格酒店
368,Estelle,US,81.0,clear sky,29.8458,-90.1067,Ohio
370,Foam Lake,CA,66.2,scattered clouds,51.65,-103.5343,Fishing Lake Lodge LTD
374,Tortoli,IT,68.0,overcast clouds,39.9256,9.6572,Hotel La Bitta
376,Touros,BR,84.2,few clouds,-5.1989,-35.4608,INN NEW HORIZON
378,Saint-Georges,GD,86.0,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
379,West Wendover,US,69.8,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
380,Port Lincoln,AU,61.61,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
381,Sao Joao Da Barra,BR,75.2,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
383,Iranshahr,IR,66.2,overcast clouds,27.2025,60.6848,پلکه بزرگ
384,Grand Gaube,MU,75.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
386,Puerto Escondido,MX,86.0,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
389,Russell,US,80.6,clear sky,32.3502,-85.1999,Macs
391,Bourail,NC,69.12,overcast clouds,-21.5667,165.4833,Motel Allamanda
393,Boyolangu,ID,75.33,broken clouds,-8.1181,111.8935,Yos ega cv
394,Bengkulu,ID,75.51,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
395,Yushan,CN,62.01,light rain,31.3776,120.9543,Swissotel Kunshan
396,Sarangani,PH,82.9,overcast clouds,5.4033,125.4636,Ballistic Islet
399,Lumberton,US,73.4,clear sky,34.6182,-79.0086,"Country Inn & Suites by Radisson, Lumberton, NC"
400,Macia,MZ,71.51,overcast clouds,-25.0269,33.0989,Tuck shop my life dcoza
401,Dingle,PH,76.6,light rain,10.9995,122.6711,SEGAYA PROPERTY
402,Padang,ID,78.19,broken clouds,-0.9492,100.3543,Mercure Padang
404,Bathsheba,BB,84.2,few clouds,13.2167,-59.5167,Atlantis Hotel
405,Xiangxiang,CN,71.71,light rain,27.7333,112.5333,Huatai International Hotel
407,Mawlaik,MM,74.62,broken clouds,23.6333,94.4167,AKZ Guest House
410,Sundargarh,IN,80.01,overcast clouds,22.1167,84.0333,Sankara City
411,Sioux Lookout,CA,60.8,scattered clouds,50.1001,-91.917,Knobby's Fly-In Camps
415,Seddon,AU,61.0,broken clouds,-37.8068,144.8916,Footscray Motor Inn
419,Kanniyakumari,IN,83.16,overcast clouds,8.0833,77.5667,Sparsa
423,River Falls,US,81.0,clear sky,44.8614,-92.6238,Best Western Plus Campus Inn
426,Istok,XK,68.0,broken clouds,42.7808,20.4875,Hotel TROFTA
427,Inhambane,MZ,71.6,scattered clouds,-23.865,35.3833,Oceano
428,Sola,VU,80.6,overcast clouds,-13.8833,167.55,Leumerus Bungalows
429,Bela,IN,89.33,overcast clouds,25.9333,81.9833,Raj Bhawan
432,Cordoba,AR,80.6,clear sky,-31.4135,-64.1811,Hotel Sussex
435,San Quintin,MX,68.27,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
436,Kokopo,PG,75.88,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
437,Quatre Cocos,MU,75.0,light rain,-20.2078,57.7625,Veranda Palmar Beach Hotel
440,Kupang,ID,75.51,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
444,Colombia,CU,89.6,scattered clouds,20.9881,-77.4297,Casa Lazara y Pupi
445,Villa Maria,AR,73.53,clear sky,-32.4075,-63.2402,Hotel Milenium
447,Cairns,AU,73.4,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
448,Wahiawa,US,78.01,scattered clouds,21.5028,-158.0236,Aloha Wahiawa
451,Hirara,JP,74.88,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
453,Ancud,CL,60.01,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
454,Valparaiso,CL,66.2,clear sky,-33.0393,-71.6273,Hotel Ultramar
458,Saint-Paul,RE,75.2,clear sky,-21.0096,55.2707,Boucan Canot
463,Asyut,EG,88.66,clear sky,27.180999999999997,31.1837,Florence Hotel Assiut
464,Ihosy,MG,66.45,overcast clouds,-22.4,46.1167,Tamana Hôtel
465,Auki,SB,76.23,overcast clouds,-8.7676,160.7034,Auki Motel
468,Cabedelo,BR,84.2,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
469,Celestun,MX,89.04,clear sky,20.8667,-90.4,Posada Lilia
470,Saiha,IN,66.63,clear sky,22.4833,92.9667,"Circuit House, Siaha"
471,Coahuayana,MX,80.6,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
472,Rabo De Peixe,PT,60.8,broken clouds,37.8,-25.5833,Quinta das Giestas
476,Yantzaza,EC,78.42,light rain,-3.8278,-78.7594,HOTEL ALEJANDRO YANTZAZA
479,Jiwani,PK,83.03,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
480,Baculin,PH,77.4,broken clouds,7.4525,126.5842,Shovy's Cove
484,Sechura,PE,80.87,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
485,Puerto Leguizamo,CO,71.78,overcast clouds,-0.1934,-74.7819,la casona de juancho
486,Morganton,US,73.99,clear sky,35.7454,-81.6848,Hampton Inn Morganton
487,Truth Or Consequences,US,75.99,clear sky,33.1284,-107.2528,Charles Motel
488,Dromolaxia,CY,73.4,clear sky,34.8761,33.586,Sea N Lake View Hotel Apartments
490,Huarmey,PE,73.29,scattered clouds,-10.0681,-78.1522,Hotel Miramar
491,Biak,ID,76.42,overcast clouds,-0.9131,122.8766,Penginapan Kim
493,Cururupu,BR,80.82,light rain,-1.8283,-44.8683,Pousada Través'cia
494,Taloqan,AF,69.93,overcast clouds,36.7361,69.5345,Saraisang street
495,General Pico,AR,72.36,clear sky,-35.6566,-63.7568,Hotel Malargue
