City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
130,Roma,US,43.2128,-75.4557,48.99,53,1,11.5,clear sky
131,Poum,NC,-20.2333,164.0167,75.34,75,96,10.96,overcast clouds
132,Karratha,AU,-20.7377,116.8463,79.9,58,37,6.02,scattered clouds
133,Sao Paulo Do Potengi,BR,-5.895,-35.7628,86.0,61,20,14.97,few clouds
134,Cidreira,BR,-30.1811,-50.2056,71.01,60,0,12.3,clear sky
135,Port-Gentil,GA,-0.7193,8.7815,84.2,79,20,6.91,few clouds
136,Gao,ML,16.6362,1.637,99.12,6,1,8.3,clear sky
137,Colac,AU,-38.3333,143.5833,60.01,64,75,4.56,broken clouds
138,Champerico,GT,14.3,-91.9167,89.6,58,40,4.61,scattered clouds
139,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,93.65,23,1,4.81,clear sky
140,Castro,BR,-24.7911,-50.0119,71.89,56,53,3.44,broken clouds
141,Ilulissat,GL,69.2167,-51.1,46.4,34,1,10.36,clear sky
142,Broome,US,42.2506,-75.833,54.0,40,1,9.22,clear sky
143,Geraldton,AU,-28.7667,114.6,55.4,58,98,8.05,overcast clouds
144,Mar Del Plata,AR,-38.0023,-57.5575,72.0,49,0,14.97,clear sky
145,Bethel,US,41.3712,-73.414,60.01,38,1,10.36,clear sky
146,Itarema,BR,-2.9248,-39.9167,81.59,77,99,5.86,light rain
147,Springbok,ZA,-29.6643,17.8865,61.25,27,0,10.67,clear sky
148,Visby,SE,57.6409,18.296,44.6,70,1,2.3,clear sky
149,Praia Da Vitoria,PT,38.7333,-27.0667,60.01,94,75,18.01,broken clouds
150,Zhigansk,RU,66.7697,123.3711,29.39,96,100,7.18,overcast clouds
151,Carson City,US,39.1638,-119.7674,75.2,4,1,12.66,clear sky
152,Londa,IN,15.4691,74.5191,74.35,75,9,2.51,clear sky
153,Havarna,RO,48.0667,26.65,62.01,74,98,5.95,overcast clouds
154,Lasa,IT,46.6166,10.7002,55.0,100,75,10.36,light rain
155,Mugur-Aksy,RU,50.35,90.5,22.05,83,75,5.99,broken clouds
156,Cabatuan,PH,10.8794,122.486,77.72,79,7,7.9,clear sky
157,Wuchi,CN,29.3786,103.023,56.03,91,100,3.74,overcast clouds
158,Mehriz,IR,31.5917,54.4318,78.8,21,0,4.61,clear sky
159,Viedma,AR,-40.8135,-62.9967,73.53,33,98,15.39,light rain
160,Tuatapere,NZ,-46.1333,167.6833,48.0,85,1,3.0,clear sky
161,San Francisco Del Mar,MX,16.2333,-94.65,85.03,66,55,11.34,broken clouds
162,Cayenne,GF,4.9333,-52.3333,87.8,66,20,11.5,few clouds
163,Tasiilaq,GL,65.6145,-37.6368,26.6,93,90,3.44,fog
164,Bandarbeyla,SO,9.4942,50.8122,84.61,72,100,11.77,overcast clouds
165,Tiksi,RU,71.6872,128.8694,19.02,99,96,2.59,overcast clouds
166,Sabzevar,IR,36.2126,57.6819,72.64,42,95,19.17,overcast clouds
167,Araouane,ML,18.9048,-3.5265,99.36,18,77,5.26,broken clouds
168,Penzance,GB,50.1186,-5.5371,50.0,57,20,12.35,few clouds
169,Bonavista,CA,48.6499,-53.1147,46.4,87,49,10.36,scattered clouds
170,Erenhot,CN,43.6475,111.9767,45.55,22,62,17.76,broken clouds
171,Kodiak,US,57.79,-152.4072,39.2,81,1,4.61,clear sky
172,San Juan,AR,-31.5375,-68.5364,77.02,29,67,3.56,broken clouds
173,Alice Springs,AU,-23.7,133.8833,53.6,58,25,3.44,scattered clouds
174,Zemio,CF,5.0314,25.1361,72.88,83,93,1.74,light rain
175,Saint-Pierre,RE,-21.3393,55.4781,75.2,78,0,6.91,clear sky
